op,phase,batch,vocab,top_k,dtype,splits,blocks,median_us,p05_us,p95_us,mean_us,stdev_us,reps,iters,warmup,round,git_commit
full,7,16,151936,50,bfloat16,8,128,24.466,24.447,24.481,24.465,0.016,5,4748,474,0,6ddf1e0-dirty
noop,0,16,151936,100,bfloat16,8,128,2.533,2.527,2.551,2.538,0.011,5,5000,500,0,6ddf1e0-dirty
phase1,1,16,151936,100,bfloat16,8,128,6.098,6.017,6.174,6.105,0.073,5,5000,500,0,6ddf1e0-dirty
phase2,2,16,151936,100,bfloat16,8,128,6.177,6.168,6.179,6.174,0.005,5,5000,500,0,6ddf1e0-dirty
phase3,3,16,151936,100,bfloat16,8,128,10.125,10.072,10.154,10.116,0.037,5,5000,500,0,6ddf1e0-dirty
phase4,4,16,151936,100,bfloat16,8,128,10.224,10.224,10.237,10.228,0.007,5,5000,500,0,6ddf1e0-dirty
phase5,5,16,151936,100,bfloat16,8,128,14.669,14.442,14.678,14.612,0.125,5,5000,500,0,6ddf1e0-dirty
phase6,6,16,151936,100,bfloat16,8,128,22.533,22.531,22.534,22.532,0.001,5,5000,500,0,6ddf1e0-dirty
phase7,7,16,151936,100,bfloat16,8,128,28.666,28.664,28.667,28.666,0.001,5,4139,413,0,6ddf1e0-dirty
full,7,16,151936,100,bfloat16,8,128,28.593,28.592,28.605,28.597,0.006,5,4116,411,0,6ddf1e0-dirty
noop,0,32,151936,20,bfloat16,4,128,2.534,2.530,2.537,2.534,0.003,5,5000,500,0,6ddf1e0-dirty
phase1,1,32,151936,20,bfloat16,4,128,8.202,8.177,8.208,8.196,0.014,5,5000,500,0,6ddf1e0-dirty
phase2,2,32,151936,20,bfloat16,4,128,8.210,8.207,8.219,8.212,0.006,5,5000,500,0,6ddf1e0-dirty
phase3,3,32,151936,20,bfloat16,4,128,16.299,16.268,16.333,16.301,0.029,5,5000,500,0,6ddf1e0-dirty
phase4,4,32,151936,20,bfloat16,4,128,16.380,16.371,16.381,16.378,0.005,5,5000,500,0,6ddf1e0-dirty
phase5,5,32,151936,20,bfloat16,4,128,23.188,23.009,23.225,23.153,0.107,5,5000,500,0,6ddf1e0-dirty
phase6,6,32,151936,20,bfloat16,4,128,24.700,24.696,24.705,24.700,0.004,5,4810,481,0,6ddf1e0-dirty
phase7,7,32,151936,20,bfloat16,4,128,26.642,26.641,26.646,26.643,0.002,5,4426,442,0,6ddf1e0-dirty
full,7,32,151936,20,bfloat16,4,128,26.812,26.804,26.822,26.813,0.008,5,4388,438,0,6ddf1e0-dirty
noop,0,32,151936,50,bfloat16,4,128,2.535,2.527,2.540,2.533,0.006,5,5000,500,0,6ddf1e0-dirty
phase1,1,32,151936,50,bfloat16,4,128,8.187,8.173,8.205,8.190,0.015,5,5000,500,0,6ddf1e0-dirty
phase2,2,32,151936,50,bfloat16,4,128,8.208,8.208,8.209,8.208,0.001,5,5000,500,0,6ddf1e0-dirty
phase3,3,32,151936,50,bfloat16,4,128,16.370,16.362,16.373,16.369,0.005,5,5000,500,0,6ddf1e0-dirty
phase4,4,32,151936,50,bfloat16,4,128,16.384,16.376,16.385,16.382,0.005,5,5000,500,0,6ddf1e0-dirty
phase5,5,32,151936,50,bfloat16,4,128,24.404,24.380,24.414,24.399,0.015,5,5000,500,0,6ddf1e0-dirty
phase6,6,32,151936,50,bfloat16,4,128,26.711,26.706,26.721,26.712,0.007,5,4393,439,0,6ddf1e0-dirty
phase7,7,32,151936,50,bfloat16,4,128,30.715,30.710,30.717,30.714,0.003,5,3860,386,0,6ddf1e0-dirty
full,7,32,151936,50,bfloat16,4,128,30.701,30.696,30.706,30.701,0.004,5,3877,387,0,6ddf1e0-dirty
noop,0,32,151936,100,bfloat16,4,128,2.524,2.521,2.543,2.530,0.011,5,5000,500,0,6ddf1e0-dirty
phase1,1,32,151936,100,bfloat16,4,128,8.206,8.170,8.209,8.193,0.021,5,5000,500,0,6ddf1e0-dirty
phase2,2,32,151936,100,bfloat16,4,128,8.213,8.211,8.219,8.214,0.004,5,5000,500,0,6ddf1e0-dirty
phase3,3,32,151936,100,bfloat16,4,128,16.377,16.372,16.383,16.378,0.005,5,5000,500,0,6ddf1e0-dirty
phase4,4,32,151936,100,bfloat16,4,128,16.385,16.378,16.388,16.384,0.004,5,5000,500,0,6ddf1e0-dirty
phase5,5,32,151936,100,bfloat16,4,128,24.616,24.612,24.620,24.616,0.003,5,4841,484,0,6ddf1e0-dirty
phase6,6,32,151936,100,bfloat16,4,128,29.777,29.736,29.791,29.770,0.025,5,4058,405,0,6ddf1e0-dirty
phase7,7,32,151936,100,bfloat16,4,128,34.846,34.843,34.847,34.845,0.002,5,3414,341,0,6ddf1e0-dirty
full,7,32,151936,100,bfloat16,4,128,34.882,34.879,34.892,34.884,0.006,5,3388,338,0,6ddf1e0-dirty
phase1,1,1,151936,20,bfloat16,8,8,4.144,4.137,4.147,4.143,0.005,5,5000,500,1,6ddf1e0-dirty
phase2,2,1,151936,20,bfloat16,8,8,4.202,4.177,4.214,4.197,0.016,5,5000,500,1,6ddf1e0-dirty
phase3,3,1,151936,20,bfloat16,8,8,6.330,6.310,6.337,6.326,0.012,5,5000,500,1,6ddf1e0-dirty
phase4,4,1,151936,20,bfloat16,8,8,6.600,6.209,6.600,6.444,0.214,5,5000,500,1,6ddf1e0-dirty
phase5,5,1,151936,20,bfloat16,8,8,10.248,10.229,10.250,10.241,0.011,5,5000,500,1,6ddf1e0-dirty
phase6,6,1,151936,20,bfloat16,8,8,14.352,14.350,14.353,14.352,0.002,5,5000,500,1,6ddf1e0-dirty
phase7,7,1,151936,20,bfloat16,8,8,16.343,16.338,16.346,16.343,0.003,5,5000,500,1,6ddf1e0-dirty
full,7,1,151936,20,bfloat16,8,8,16.345,16.343,16.354,16.346,0.006,5,5000,500,1,6ddf1e0-dirty
noop,0,1,151936,20,bfloat16,8,8,2.543,2.540,2.561,2.548,0.010,5,5000,500,1,6ddf1e0-dirty
phase1,1,1,151936,50,bfloat16,8,8,4.137,4.134,4.148,4.140,0.007,5,5000,500,1,6ddf1e0-dirty
phase2,2,1,151936,50,bfloat16,8,8,4.189,4.176,4.192,4.185,0.008,5,5000,500,1,6ddf1e0-dirty
phase3,3,1,151936,50,bfloat16,8,8,6.284,6.203,6.295,6.265,0.045,5,5000,500,1,6ddf1e0-dirty
phase4,4,1,151936,50,bfloat16,8,8,6.599,6.196,6.601,6.439,0.220,5,5000,500,1,6ddf1e0-dirty
phase5,5,1,151936,50,bfloat16,8,8,10.269,10.256,10.274,10.267,0.008,5,5000,500,1,6ddf1e0-dirty
phase6,6,1,151936,50,bfloat16,8,8,16.379,16.378,16.380,16.379,0.001,5,5000,500,1,6ddf1e0-dirty
phase7,7,1,151936,50,bfloat16,8,8,18.459,18.457,18.484,18.466,0.013,5,5000,500,1,6ddf1e0-dirty
full,7,1,151936,50,bfloat16,8,8,18.969,18.957,18.980,18.967,0.010,5,5000,500,1,6ddf1e0-dirty
noop,0,1,151936,50,bfloat16,8,8,2.524,2.520,2.531,2.525,0.005,5,5000,500,1,6ddf1e0-dirty
phase1,1,1,151936,100,bfloat16,8,8,4.143,4.136,4.149,4.142,0.006,5,5000,500,1,6ddf1e0-dirty
phase2,2,1,151936,100,bfloat16,8,8,4.201,4.184,4.206,4.196,0.010,5,5000,500,1,6ddf1e0-dirty
phase3,3,1,151936,100,bfloat16,8,8,6.327,6.300,6.330,6.321,0.015,5,5000,500,1,6ddf1e0-dirty
phase4,4,1,151936,100,bfloat16,8,8,6.599,6.205,6.600,6.442,0.216,5,5000,500,1,6ddf1e0-dirty
phase5,5,1,151936,100,bfloat16,8,8,10.349,10.345,10.599,10.410,0.140,5,5000,500,1,6ddf1e0-dirty
phase6,6,1,151936,100,bfloat16,8,8,18.586,18.585,18.595,18.589,0.005,5,5000,500,1,6ddf1e0-dirty
phase7,7,1,151936,100,bfloat16,8,8,22.679,22.677,22.693,22.684,0.008,5,5000,500,1,6ddf1e0-dirty
full,7,1,151936,100,bfloat16,8,8,23.217,23.200,23.243,23.219,0.020,5,4790,479,1,6ddf1e0-dirty
noop,0,1,151936,100,bfloat16,8,8,2.546,2.534,2.547,2.542,0.007,5,5000,500,1,6ddf1e0-dirty
phase1,1,4,151936,20,bfloat16,8,32,4.139,4.137,4.144,4.140,0.003,5,5000,500,1,6ddf1e0-dirty
phase2,2,4,151936,20,bfloat16,8,32,4.254,4.240,4.259,4.251,0.008,5,5000,500,1,6ddf1e0-dirty
phase3,3,4,151936,20,bfloat16,8,32,6.585,6.527,6.590,6.572,0.033,5,5000,500,1,6ddf1e0-dirty
phase4,4,4,151936,20,bfloat16,8,32,7.489,7.455,7.628,7.529,0.085,5,5000,500,1,6ddf1e0-dirty
phase5,5,4,151936,20,bfloat16,8,32,10.259,10.257,10.262,10.259,0.002,5,5000,500,1,6ddf1e0-dirty
phase6,6,4,151936,20,bfloat16,8,32,14.362,14.360,14.366,14.363,0.002,5,5000,500,1,6ddf1e0-dirty
phase7,7,4,151936,20,bfloat16,8,32,16.357,16.353,16.360,16.357,0.003,5,5000,500,1,6ddf1e0-dirty
full,7,4,151936,20,bfloat16,8,32,16.358,16.355,16.360,16.358,0.002,5,5000,500,1,6ddf1e0-dirty
noop,0,4,151936,20,bfloat16,8,32,2.537,2.527,2.545,2.538,0.008,5,5000,500,1,6ddf1e0-dirty
phase1,1,4,151936,50,bfloat16,8,32,4.140,4.138,4.151,4.143,0.006,5,5000,500,1,6ddf1e0-dirty
phase2,2,4,151936,50,bfloat16,8,32,4.252,4.239,4.253,4.248,0.007,5,5000,500,1,6ddf1e0-dirty
phase3,3,4,151936,50,bfloat16,8,32,6.588,6.276,6.592,6.511,0.175,5,5000,500,1,6ddf1e0-dirty
phase4,4,4,151936,50,bfloat16,8,32,7.327,7.309,7.487,7.382,0.090,5,5000,500,1,6ddf1e0-dirty
phase5,5,4,151936,50,bfloat16,8,32,10.259,10.257,10.389,10.307,0.068,5,5000,500,1,6ddf1e0-dirty
phase6,6,4,151936,50,bfloat16,8,32,16.374,16.371,16.375,16.373,0.002,5,5000,500,1,6ddf1e0-dirty
phase7,7,4,151936,50,bfloat16,8,32,20.468,20.464,20.486,20.471,0.011,5,5000,500,1,6ddf1e0-dirty
full,7,4,151936,50,bfloat16,8,32,20.200,20.191,20.204,20.198,0.006,5,5000,500,1,6ddf1e0-dirty
noop,0,4,151936,50,bfloat16,8,32,2.560,2.551,2.567,2.560,0.007,5,5000,500,1,6ddf1e0-dirty
phase1,1,4,151936,100,bfloat16,8,32,4.143,4.140,4.148,4.144,0.004,5,5000,500,1,6ddf1e0-dirty
phase2,2,4,151936,100,bfloat16,8,32,4.245,4.235,4.262,4.246,0.012,5,5000,500,1,6ddf1e0-dirty
phase3,3,4,151936,100,bfloat16,8,32,6.590,6.254,6.590,6.493,0.173,5,5000,500,1,6ddf1e0-dirty
