op,batch,vocab,dtype,splits,blocks,median_us,p05_us,p95_us,mean_us,stdev_us,reps,iters,warmup,logits_bytes,dram_floor_us,floor_frac_of_latency,git_commit,round
fused_k100,1,151936,bfloat16,4,4,29.800,29.755,29.821,29.793,0.029,5,4042,404,303872,0.550,0.018451,d544983-dirty,0
fused_k100,1,151936,bfloat16,8,8,28.686,28.676,28.693,28.684,0.008,5,4088,408,303872,0.550,0.019167,d544983-dirty,0
fused_k20,4,151936,bfloat16,1,4,57.081,57.064,57.089,57.077,0.011,5,2086,208,1215488,2.199,0.038530,d544983-dirty,0
fused_k20,4,151936,bfloat16,2,8,34.306,34.287,34.328,34.306,0.018,5,3541,354,1215488,2.199,0.064109,d544983-dirty,0
fused_k20,4,151936,bfloat16,4,16,23.950,23.929,23.952,23.944,0.011,5,4969,496,1215488,2.199,0.091828,d544983-dirty,0
fused_k20,4,151936,bfloat16,8,32,19.404,19.402,19.411,19.406,0.004,5,5000,500,1215488,2.199,0.113341,d544983-dirty,0
fused_k20,4,151936,bfloat16,16,64,18.467,18.465,18.470,18.467,0.002,5,5000,500,1215488,2.199,0.119096,d544983-dirty,0
fused_k20,4,151936,bfloat16,20,80,18.474,18.468,18.478,18.473,0.005,5,5000,500,1215488,2.199,0.119051,d544983-dirty,0
fused_k20,4,151936,bfloat16,32,128,22.387,22.385,22.390,22.387,0.003,5,5000,500,1215488,2.199,0.098240,d544983-dirty,0
fused_k50,4,151936,bfloat16,1,4,59.301,59.279,59.344,59.311,0.029,5,2025,202,1215488,2.199,0.037087,d544983-dirty,0
fused_k50,4,151936,bfloat16,2,8,37.072,37.058,37.094,37.075,0.016,5,3227,322,1215488,2.199,0.059326,d544983-dirty,0
fused_k50,4,151936,bfloat16,4,16,27.370,27.361,27.389,27.372,0.012,5,4434,443,1215488,2.199,0.080356,d544983-dirty,0
fused_k50,4,151936,bfloat16,8,32,23.290,23.261,23.309,23.286,0.023,5,5000,500,1215488,2.199,0.094432,d544983-dirty,0
fused_k50,4,151936,bfloat16,16,64,22.914,22.903,22.925,22.914,0.009,5,5000,500,1215488,2.199,0.095979,d544983-dirty,0
fused_k50,4,151936,bfloat16,20,80,23.757,23.744,23.760,23.753,0.007,5,5000,500,1215488,2.199,0.092574,d544983-dirty,0
fused_k100,4,151936,bfloat16,1,4,61.904,61.879,61.925,61.903,0.020,5,1939,193,1215488,2.199,0.035528,d544983-dirty,0
fused_k100,4,151936,bfloat16,2,8,40.735,40.702,40.742,40.727,0.019,5,2912,291,1215488,2.199,0.053991,d544983-dirty,0
