op,phase,batch,vocab,top_k,dtype,splits,blocks,median_us,p05_us,p95_us,mean_us,stdev_us,reps,iters,warmup,round,git_commit
phase5,5,32,151936,100,bfloat16,4,128,24.614,24.591,24.614,24.608,0.013,5,4850,485,0,df3e3c0
phase6,6,32,151936,100,bfloat16,4,128,31.387,31.363,31.436,31.398,0.032,5,3836,383,0,df3e3c0
phase7,7,32,151936,100,bfloat16,4,128,38.912,38.909,38.916,38.912,0.003,5,3064,306,0,df3e3c0
full,7,32,151936,100,bfloat16,4,128,38.094,38.074,38.121,38.095,0.021,5,3112,311,0,df3e3c0
phase1,1,1,151936,20,bfloat16,8,8,4.133,4.125,4.145,4.134,0.009,5,5000,500,1,df3e3c0
phase2,2,1,151936,20,bfloat16,8,8,4.192,4.183,4.202,4.193,0.008,5,5000,500,1,df3e3c0
phase3,3,1,151936,20,bfloat16,8,8,6.461,6.418,6.464,6.451,0.024,5,5000,500,1,df3e3c0
phase4,4,1,151936,20,bfloat16,8,8,6.537,6.213,6.607,6.435,0.203,5,5000,500,1,df3e3c0
phase5,5,1,151936,20,bfloat16,8,8,10.243,10.233,10.249,10.242,0.007,5,5000,500,1,df3e3c0
phase6,6,1,151936,20,bfloat16,8,8,16.375,16.373,16.379,16.376,0.003,5,5000,500,1,df3e3c0
phase7,7,1,151936,20,bfloat16,8,8,18.439,18.437,18.442,18.439,0.002,5,5000,500,1,df3e3c0
full,7,1,151936,20,bfloat16,8,8,18.453,18.452,18.455,18.453,0.001,5,5000,500,1,df3e3c0
noop,0,1,151936,20,bfloat16,8,8,2.504,2.499,2.523,2.509,0.011,5,5000,500,1,df3e3c0
phase1,1,1,151936,50,bfloat16,8,8,4.133,4.115,4.144,4.130,0.013,5,5000,500,1,df3e3c0
phase2,2,1,151936,50,bfloat16,8,8,4.180,4.175,4.193,4.184,0.008,5,5000,500,1,df3e3c0
phase3,3,1,151936,50,bfloat16,8,8,6.446,6.188,6.466,6.351,0.148,5,5000,500,1,df3e3c0
phase4,4,1,151936,50,bfloat16,8,8,6.602,6.270,6.606,6.511,0.174,5,5000,500,1,df3e3c0
phase5,5,1,151936,50,bfloat16,8,8,10.298,10.294,10.304,10.299,0.005,5,5000,500,1,df3e3c0
phase6,6,1,151936,50,bfloat16,8,8,18.420,18.418,18.433,18.423,0.008,5,5000,500,1,df3e3c0
phase7,7,1,151936,50,bfloat16,8,8,20.508,20.506,20.509,20.508,0.001,5,5000,500,1,df3e3c0
full,7,1,151936,50,bfloat16,8,8,21.039,21.023,21.061,21.040,0.017,5,5000,500,1,df3e3c0
noop,0,1,151936,50,bfloat16,8,8,2.511,2.503,2.515,2.510,0.005,5,5000,500,1,df3e3c0
phase1,1,1,151936,100,bfloat16,8,8,4.130,4.108,4.137,4.126,0.013,5,5000,500,1,df3e3c0
phase2,2,1,151936,100,bfloat16,8,8,4.191,4.182,4.196,4.191,0.006,5,5000,500,1,df3e3c0
phase3,3,1,151936,100,bfloat16,8,8,6.486,6.433,6.490,6.471,0.027,5,5000,500,1,df3e3c0
phase4,4,1,151936,100,bfloat16,8,8,6.638,6.332,6.644,6.564,0.172,5,5000,500,1,df3e3c0
phase5,5,1,151936,100,bfloat16,8,8,10.664,10.328,10.667,10.570,0.175,5,5000,500,1,df3e3c0
phase6,6,1,151936,100,bfloat16,8,8,22.520,22.519,22.520,22.520,0.000,5,5000,500,1,df3e3c0
phase7,7,1,151936,100,bfloat16,8,8,26.604,26.604,26.605,26.604,0.000,5,4344,434,1,df3e3c0
full,7,1,151936,100,bfloat16,8,8,26.609,26.608,26.609,26.608,0.001,5,4436,443,1,df3e3c0
noop,0,1,151936,100,bfloat16,8,8,2.509,2.496,2.517,2.506,0.010,5,5000,500,1,df3e3c0
phase1,1,4,151936,20,bfloat16,8,32,4.142,4.124,4.150,4.138,0.012,5,5000,500,1,df3e3c0
phase2,2,4,151936,20,bfloat16,8,32,4.230,4.219,4.236,4.228,0.007,5,5000,500,1,df3e3c0
phase3,3,4,151936,20,bfloat16,8,32,6.585,6.252,6.590,6.492,0.173,5,5000,500,1,df3e3c0
phase4,4,4,151936,20,bfloat16,8,32,7.394,7.389,7.564,7.453,0.088,5,5000,500,1,df3e3c0
phase5,5,4,151936,20,bfloat16,8,32,10.257,10.252,10.263,10.258,0.005,5,5000,500,1,df3e3c0
phase6,6,4,151936,20,bfloat16,8,32,16.406,16.405,16.408,16.406,0.001,5,5000,500,1,df3e3c0
phase7,7,4,151936,20,bfloat16,8,32,20.193,20.104,20.225,20.174,0.053,5,5000,500,1,df3e3c0
full,7,4,151936,20,bfloat16,8,32,20.373,20.362,20.385,20.372,0.011,5,5000,500,1,df3e3c0
noop,0,4,151936,20,bfloat16,8,32,2.525,2.515,2.532,2.524,0.008,5,5000,500,1,df3e3c0
phase1,1,4,151936,50,bfloat16,8,32,4.143,4.134,4.152,4.143,0.008,5,5000,500,1,df3e3c0
phase2,2,4,151936,50,bfloat16,8,32,4.220,4.211,4.242,4.224,0.015,5,5000,500,1,df3e3c0
phase3,3,4,151936,50,bfloat16,8,32,6.585,6.269,6.591,6.508,0.177,5,5000,500,1,df3e3c0
phase4,4,4,151936,50,bfloat16,8,32,7.641,7.564,7.781,7.653,0.099,5,5000,500,1,df3e3c0
phase5,5,4,151936,50,bfloat16,8,32,10.338,10.333,10.349,10.339,0.007,5,5000,500,1,df3e3c0
phase6,6,4,151936,50,bfloat16,8,32,18.418,18.416,18.419,18.418,0.002,5,5000,500,1,df3e3c0
phase7,7,4,151936,50,bfloat16,8,32,22.511,22.509,22.511,22.510,0.001,5,5000,500,1,df3e3c0
full,7,4,151936,50,bfloat16,8,32,22.526,22.525,22.531,22.528,0.003,5,5000,500,1,df3e3c0
noop,0,4,151936,50,bfloat16,8,32,2.524,2.521,2.524,2.523,0.002,5,5000,500,1,df3e3c0
phase1,1,4,151936,100,bfloat16,8,32,4.140,4.136,4.151,4.142,0.007,5,5000,500,1,df3e3c0
phase2,2,4,151936,100,bfloat16,8,32,4.239,4.228,4.246,4.237,0.008,5,5000,500,1,df3e3c0
phase3,3,4,151936,100,bfloat16,8,32,6.586,6.526,6.589,6.572,0.033,5,5000,500,1,df3e3c0
phase4,4,4,151936,100,bfloat16,8,32,7.855,7.773,7.879,7.833,0.049,5,5000,500,1,df3e3c0
phase5,5,4,151936,100,bfloat16,8,32,11.021,10.730,11.050,10.925,0.158,5,5000,500,1,df3e3c0
phase6,6,4,151936,100,bfloat16,8,32,23.195,23.182,23.220,23.201,0.017,5,5000,500,1,df3e3c0
phase7,7,4,151936,100,bfloat16,8,32,29.511,29.490,29.532,29.513,0.018,5,4012,401,1,df3e3c0
full,7,4,151936,100,bfloat16,8,32,29.628,29.596,29.665,29.632,0.033,5,3932,393,1,df3e3c0
noop,0,4,151936,100,bfloat16,8,32,2.519,2.517,2.534,2.523,0.008,5,5000,500,1,df3e3c0
phase1,1,8,151936,20,bfloat16,8,64,4.141,4.139,4.143,4.141,0.002,5,5000,500,1,df3e3c0
phase2,2,8,151936,20,bfloat16,8,64,4.240,4.234,4.266,4.248,0.016,5,5000,500,1,df3e3c0
phase3,3,8,151936,20,bfloat16,8,64,6.594,6.531,6.596,6.579,0.035,5,5000,500,1,df3e3c0
phase4,4,8,151936,20,bfloat16,8,64,8.172,8.163,8.178,8.172,0.007,5,5000,500,1,df3e3c0
phase5,5,8,151936,20,bfloat16,8,64,10.266,10.252,10.277,10.265,0.012,5,5000,500,1,df3e3c0
phase6,6,8,151936,20,bfloat16,8,64,16.405,16.402,16.406,16.404,0.002,5,5000,500,1,df3e3c0
